PROY0058_11;;;;;;;PDTE Doc Alcance en GCS;;; ; ; ; ; 
PROY0059_01;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0059_02;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0059_03;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0059_04;24/06/2013;26/08/2013;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0059_05;24/06/2013;26/08/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0060_01;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0061_01;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0061_02;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0061_03;;;23/11/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0062_01;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0062_02;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0062_03;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0063_01;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0064_01;26/03/2012;27/03/2012;26/05/2012;;;;Implementado con OK;;; ; ; ; ; 
PROY0064_02;23/03/2012;24/03/2012;26/05/2012;;;;Implementado con OK;;; ; ; ; ; 
PROY0064_03;23/03/2012;24/03/2012;26/05/2012;;;;Implementado con OK;;; ; ; ; ; 
PROY0064_04;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0064_05;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0064_06;;;;;;;Excluido por negocio;;; ; ; ; ; 
PROY0064_07;;;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0064_08;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0064_09;;;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0064_10;;;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0064_11;;;;;;;En Test  Aceptación;;; ; ; ; ; 
PROY0065_01;05/11/2012;05/11/2012;17/11/2012;;05/11/2012;05/11/2012;Implementado sin OK;;; ; ; ; ; 
PROY0065_02;;;;;;;PDTE Valoración IT;;; ; ; ; ; 
PROY0066_01;;;12/09/2012;;;;Implementado con OK;;; ; ; ; ; 
PROY0066_02;;;12/09/2012;;;;Implementado con OK;;; ; ; ; ; 
PROY0067_01;;;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0067_02;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0067_03;;;;;;;En Penny Test;;; ; ; ; ; 
PROY0068_01;22/04/2013;24/04/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0068_02;22/04/2013;24/04/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0068_03;;;;;;;En Desarrollo;;; ; ; ; ; 
PROY0068_04;22/04/2013;24/04/2013;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0068_05;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0069_01;10/10/2012;15/10/2012;09/11/2012;;;;Implementado con OK;;; ; ; ; ; 
PROY0069_02;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0069_03;30/07/2013;01/08/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0070_01;;;;;;;Excluido por negocio;;; ; ; ; ; 
PROY0071_01;05/03/2013;05/03/2013;23/03/2013;PGP;28/02/2013;12/03/2013;Implementado con OK;;; ; ; ; ; 
PROY0071_02;;;;PGP;;;Excluido por Timeout;;; ; ; ; ; 
PROY0072_01;10/12/2012;11/12/2012;;;;;Implementado con OK;;; ; ; ; ; 
PROY0072_02;03/12/2012;04/12/2012;;;;;Implementado con OK;;; ; ; ; ; 
PROY0072_03;10/12/2012;11/12/2012;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0072_04;10/12/2012;11/12/2012;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0073_01;11/01/2013;15/01/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0073_02;14/02/2013;14/02/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0074_01;10/12/2012;10/12/2012;;;;;Implementado con OK;;; ; ; ; ; 
PROY0075_01;;;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0075_02;;;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0076_01;08/04/2013;08/04/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0076_02;;;;;;;En Test  Conectividad;;; ; ; ; ; 
PROY0078_01;10/01/2013;14/01/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0079_01;09/01/2013;09/01/2013;26/01/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0080_01;01/04/2013;01/04/2013;20/04/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0080_02;08/04/2013;08/04/2013;20/04/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0081_01;08/02/2013;04/03/2013;25/03/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0081_02;;;;;;;Excluido por negocio;;; ; ; ; ; 
PROY0081_03;;;;;;;Excluido por negocio;;; ; ; ; ; 
PROY0081_04;;;;;;;PDTE Valoración IT;;; ; ; ; ; 
PROY0082_01;21/03/2013;21/03/2013;06/04/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0083_01;21/02/2014;24/02/2014;;;;;Implementado con OK;;; ; ; ; ; 
PROY0084_01;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0085_01;24/04/2013;23/05/2013;22/04/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0085_02;24/04/2013;23/05/2013;22/04/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0085_03;24/04/2013;23/05/2013;22/04/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0086_01;;;;;;;Excluido por Timeout;;; ; ; ; ; 
PROY0086_02;04/12/2013;10/03/2014;;;;;Implementado con OK;;; ; ; ; ; 
PROY0087_01;09/04/2013;22/04/2013;;PGP-H2Web;25/03/2013;26/03/2013;Implementado con OK;;; ; ; ; ; 
PROY0087_02;09/04/2013;22/04/2013;;PGP-H2Web;25/03/2013;26/03/2013;Implementado con OK;;; ; ; ; ; 
PROY0087_03;09/04/2013;22/04/2013;;PGP-H2Web;25/03/2013;26/03/2013;Excluido por Timeout;;; ; ; ; ; 
PROY0087_04;28/11/2013;28/11/2013;;PGP-H2Web;25/03/2013;26/03/2013;Implementado con OK;;; ; ; ; ; 
PROY0087_05;09/04/2013;22/04/2013;;PGP-H2Web;25/03/2013;26/03/2013;Excluido por Timeout;;; ; ; ; ; 
PROY0088_01;15/04/2013;18/04/2013;20/04/2013;;;;Implementado con OK;;; ; ; ; ; 
PROY0088_02;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0088_03;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0088_04;09/07/2013;09/07/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0089_01;;;;;;;Implementado con OK;;; ; ; ; ; 
PROY0089_02;;;;;;;Parado por negocio;;; ; ; ; ; 
PROY0089_03;;;;;;;PDTE Doc Alcance en GCS;;; ; ; ; ; 
PROY0090_01;;;;Host to Web;;;Excluido por Timeout;;; ; ; ; ; 
PROY0091_01;;;;PGP;;;Excluido por negocio;;; ; ; ; ; 
PROY0091_02;18/07/2013;05/08/2013;07/11/2013;PGP;17/01/2014;17/03/2014;Implementado con OK;;; ; ; ; ; 
PROY0091_03;;;;PGP;;;Implementado con OK;;; ; ; ; ; 
PROY0091_04;;;;PGP;;;Implementado con OK;;; ; ; ; ; 
PROY0091_05;;;;PGP;;;Excluido por negocio;;; ; ; ; ; 
PROY0091_06;;;;PGP;;;PDTE Valoración IT;;; ; ; ; ; 
PROY0093_02;09/07/2013;09/07/2013;;;;;Implementado con OK;;; ; ; ; ; 
PROY0093_03;;;;;;;En Test  Aceptación;;; ; ; ; ; 
PROY0094_01;25/01/2014;21/01/2014;07/06/2014;PGP-H2Web;11/02/2014;11/02/2014;En Penny Test;;; ; ; ; ; 
