AS2;H2H
FTP;H2H
FTPS;H2H
SFTP;H2H
Webservices;H2H
No aplica;Global Netcash
No aplica;H2H-BancoRelay
No aplica;Swift-BancoRelay
No aplica;Swift-Fileact
