PROY0047_01;Portugal;Transferencias SEPA;Implementado con OK;SCT;;XML v.3;TEIS;;41009001;;;;;22/02/2014;;;;;;;
PROY0047_01;España;Saldos y movimientos;Implementado con OK;MVD;;;;;10000000020;;;;;;;;;;;;
PROY0047_01;Reino Unido;Movimientos cuentas personales en fichero;Implementado con OK;REX;;;;;10000000020;;;;;;;;;;;;
PROY0047_02;España;C19.14 Cancelaciones/Retrocesiones SEPA - CORE;Implementado con OK;SCA;;;;;10000000020;14/10/2013;14/02/2014;;;22/02/2014;24/02/2014;28/03/2014;;16/10/2013;09/11/2013;14/10/2013;21/10/2013
PROY0047_02;España;C19.14 Cancelaciones/Retrocesiones SEPA - CORE;Excluido por Timeout;SCA;;;;;10000000020;14/10/2013;;;;;;;;16/10/2013;09/11/2013;14/10/2013;21/10/2013
PROY0047_02;España;Impagados Cuaderno 19.14 (SEPA) - CORE;Excluido por Timeout;X9D;;;;;10000000020;14/10/2013;14/02/2014;;;;;;;07/10/2013;14/012/213;14/10/2013;21/10/2013
PROY0047_02;España;Impagados Cuaderno 19.14 (SEPA) - CORE;Excluido por Timeout;X9R;;;;;10000000020;14/10/2013;14/02/2014;;;;;;;07/10/2013;14/012/213;14/10/2013;21/10/2013
PROY0047_02;España;C19.44 Cancelaciones/Retrocesiones Sepa;Implementado con OK;SCX;COR1;;;;10000000020;14/10/2013;14/02/2014;;;22/02/2014;24/02/2014;28/03/2014;;07/10/2013;14/012/213;14/10/2013;21/10/2013
PROY0047_02;España;C19.14 Cancelaciones/Retrocesiones SEPA - COR1;Excluido por Timeout;SCA;COR1;;;;10000000020;14/10/2013;;;;;;;;07/10/2013;14/012/213;14/10/2013;21/10/2013
PROY0047_02;España;Impagados Cuaderno 19.14 (SEPA) - COR1;Excluido por Timeout;X9D;COR1;;;;10000000020;14/10/2013;14/02/2014;;;;;;;07/10/2013;14/012/213;14/10/2013;21/10/2013
PROY0047_02;España;Impagados Cuaderno 19.14 (SEPA) - COR1;Excluido por Timeout;X9R;COR1;;;;10000000020;14/10/2013;14/02/2014;;;;;;;07/10/2013;14/012/213;14/10/2013;21/10/2013
PROY0047_02;Francia;Adeudos Core (SEPA) París;Excluido por Timeout;ADP;Presentaciones SDD SEPA CORE;;;;10000000020;;;;;;;;;;;11/11/2013;
PROY0047_02;Francia;C19.14 Cancelaciones/Retrocesiones SEPA - CORE;Excluido por Timeout;SCA;Cancelaciones/retrocesiones SDD SEPA CORE;;;;10000000020;;;;;;;;;;;11/11/2013;
PROY0047_02;Francia;Impagados Core(SEPA) París;Excluido por Timeout;PIM;Rechazos/Devoluciones SDD SEPA CORE;;;;10000000020;;;;;;;;;;;11/11/2013;
PROY0047_03;España;Transferencias EUR (FIT);Implementado con OK;FIT;;;;10000000093;10000000020;06/05/2014;08/05/2014;19/05/2014;20/05/2014;17/05/2014;19/05/2014;19/05/2014;17/07/2014;06/05/2014;16/05/2014;;
PROY0047_04;Portugal;Transferencias SEPA;Implementado con OK;SCT;;;;;;03/11/2014;03/11/2014;03/11/2014;03/11/2014;16/11/2014;18/11/2014;18/11/2014;;;;;
PROY0047_05;Francia;SEPA París;PDTE Doc Alcance en GCS;SPF;;;;;;;;;;;;;;;;;
PROY0048_01;España;Saldos y movimientos;Implementado con OK;ISM;Se subirá el 16/2/2012;;;;10000000043;;;;;;;;;;;;
PROY0048_01;España;Saldos y movimientos;Implementado con OK;MVD;Se subirá el 16/2/2012;;;;10000000043;;;;;;;;;;;;
PROY0048_01;España;Cheques en fichero 34.1;Excluido por Timeout;CH1;Pendiente de que el cliente envíe ficheros (22/01/13) Gestor IT sin constancia de este servicio;;AEB 34.1;;10000000043;;;;;;;;;;;;
