PROY0001_01;España;Saldos y movimientos;Implementado con OK;ISM;No los he tratado yo;;;;10000000001;;;;;40909;;;;;;;
PROY0001_01;España;Saldos y movimientos;Implementado con OK;MVD;No los he tratado yo;;;;10000000001;;;;;40909;;;;;;;
PROY0001_01;España;Nóminas en fichero 34.1;Implementado con OK;NO1;Faltan Penny Test de la nueva filial;;AEB 34.1;;10000000001;;;;;40909;;;;;;;
PROY0001_01;España;Nóminas;Implementado con OK;NOM;No los he tratado yo;;AEB 34.1;;10000000001;;;;;40909;;;;;;;
PROY0001_01;España;Transferencias en fichero 34.1;Implementado con OK;TR1;Faltan Penny Test de la nueva filial;;AEB 34.1;;10000000001;;;;;40909;;;;;;;
PROY0001_01;España;Transferencias domésticas;Implementado con OK;TRA;;;AEB 34;;10000000001;40938;40991;;;41058;41081;41082;;;;;
PROY0001_01;España;Transferencias internacionales;Implementado con OK;TIN;No los he tratado yo;;TIN Propietario;;10000000001;;;;;40909;;;;;;;
PROY0001_02;España;Transferencias EUR (FIT);Implementado con OK;FIT;Se estan probando en integrado de nuevo con otras filiales.;;;;;41417;;;;41496;41530;41631;41631;41526;41537;;
PROY0001_02;España;Transferencias internacionales;Implementado con OK;TIN;;;;;;41417;41618;;;41622;41627;41631;41631;;;;
PROY0001_02;España;Nóminas (FIM);Implementado con OK;FIM;;;;;;41569;41592;;;41601;41612;41613;41613;;;;
PROY0002_01;España;Transferencia sepa 34.12;Implementado con OK;TRS;"Fecha ""supuesta de implantación"". Desarrollo anterior a 2011 y no tenemos información de la fecha de implantación.";XML V.3;AEB 34.12;;10000000013;;;;;40186;;;;;;;
PROY0003_01;España;Cheques;Implementado con OK;CHE;Activo desde el 24/01/2012;;AEB 34;;10000000040;;;;;40932;;;;;;;
PROY0003_01;España;Pagos certificados;Implementado con OK;CPG;Activo desde el 24/01/2012;;CPG Propietario;;10000000040;;;;;40932;;;;;;;
PROY0003_01;España;Pagos domiciliados;Implementado con OK;CPN;Activo desde el 24/01/2012;;AEB 68;;10000000040;;;;;40932;;;;;;;
PROY0003_01;España;Anticipos de crédito;Implementado con OK;CRE;Activo desde el 24/01/2012;;AEB 58;;10000000040;;;;;40932;;;;;;;
PROY0003_01;España;Devoluciones de anticipo crédito vía fichero;Implementado con OK;DVA;Activo desde el 24/01/2012;;AEB 58;;10000000040;;;;;40932;;;;;;;
PROY0003_01;España;Saldos y movimientos;Implementado con OK;ISM;Activo desde el 24/01/2012;;;;10000000040;;;;;40932;;;;;;;
