PROY0102_01;España;Transferencias en fichero 34.1;Excluido por Timeout;TR1;;;;;;;;;;;;;;;;;
PROY0102_01;España;Saldos y movimientos;Implementado con OK;ISM;;;;;;05/08/2013;06/08/2013;;;21/09/2013;27/09/2013;27/09/2013;;;;05/08/2013;05/08/2013
PROY0102_02;España;Transferencias urgentes (OMF);Excluido por Timeout;OMF;;;;;;;;;;;;;;;;;
PROY0102_02;España;Respuestas;Excluido por Timeout;XXX;Respuestas OMF;;;;;;;;;;;;;;;;
PROY0102_02;España;Transferencias internacionales;Excluido por Timeout;TIN;;;;;;;;;;;;;;;;;
PROY0102_02;España;Respuestas;Excluido por Timeout;XXX;Respuestas TIN;;;;;;;;;;;;;;;;
PROY0103_01;Venezuela;Pago a Proveedores;Implementado sin OK;PRO;Implementación IA Se pasa a Producttivo tras 2 meses sin envío en penny test. Negocio Cliente no validó y rechazó el plan de trabajo. Valoraciones: **(19/08/2013)Clte.Sw. 40 horas (PaP y Trfs). **(10/07/13)Solution- 70 horas (VE PaP-Trf) de PROYecto y 50 ;;;;;11/09/2013;20/09/2013;;;05/10/2013;;;;11/10/2013;11/10/2013;02/09/2013;20/09/2013
PROY0103_01;Venezuela;Transferencias;Excluido por negocio;TRN;Implementación IA A petición de negocio se excluye. Pendiente de actualizar documentación y procesos Valoraciones: **(19/08/2013)Clte.Sw. 40 horas (PaP y Trfs). **(10/07/13)Solution- 70 horas (VE PaP-Trf) de PROYecto y 50 horas (VE) de mantenimiento.;;;;;;;;;;;;;;;;
PROY0103_01;Venezuela;Respuestas GMM;Implementado sin OK;XXX;Respuestas GMM en XML V3. Implementación IA Se pasa a Producttivo tras 2 meses sin envío en penny test. Cambio de Alcance. Negocio solicita respuestas estándares GMM en XML V3 mientras definen dedicadas. Se suben de urgencia por exigencias de Negocio para;;;;;21/10/2013;24/10/2013;;;25/10/2013;;;;;;21/10/2013;24/10/2013
PROY0103_02;Perú;Pago a Proveedores;Implementado con OK;M03;Implementación IA Se pasa a Producttivo tras 2 meses con 1 envío OK en penny test. Negocio Cliente no validó y rechazó el plan de trabajo.;;;;;10/09/2013;20/09/2013;;;05/10/2013;20/11/2013;20/11/2013;;29/08/2013;;10/09/2013;20/09/2013
PROY0103_02;Perú;Transferencias Domésticas;Excluido por negocio;M01;Implementación IA A petición de negocio se excluye. Pendiente de actualizar documentación y procesos;;;;;;;;;;;;;;;;
PROY0103_02;Perú;Respuestas GMM;Implementado con OK;XXX;Respuestas GMM v3. Implementación IA Se pasa a Producttivo tras 2 meses con 1 envío OK en penny test. Cambio de Alcance. Negocio solicita respuestas estándares GMM en XML V3 mientras definen dedicadas. Se suben de urgencia por exigencias de Negocio para p;;;;;21/10/2013;24/10/2013;;;25/10/2013;20/11/2013;20/11/2013;;;;21/10/2013;24/10/2013
PROY0103_03;Venezuela;Respuestas dedicadas;Excluido por Timeout;XXX;Implementación IA El 27-01-2014 Negocio confirma que deben definir mapa para todos los países y que debemos esperar. El 10-12-2013 he pasado a Neg. comentarios y correcciones sobre el mapa. No está correcto. PDTE Doc Alcance en GCS;;;;;;;;;;;;;;;;
PROY0103_05;Chile;Pago a proveedores;Excluido por negocio;PRO;Implementación IA;;;;;;;;;;;;;;;;
PROY0103_05;Chile;Transferencias domésticas;Excluido por negocio;TRN;Implementación IA;;;;;;;;;;;;;;;;
PROY0103_06;Chile;Saldos y movimientos;Excluido por negocio;MT940;Implementación IA;;;;;;;;;;;;;;;;
PROY0103_07;Venezuela;Pago a Proveedores;En Test - Aceptación;PRO;Se implanta por primera vez en producción el 11/11/2014;;;;;24/09/2014;05/11/2014;;;;13/11/2014;13/11/2014;;13/08/2014;19/09/2014;13/08/2014;13/08/2014
PROY0103_07;Perú;Pago a Proveedores;En Test - Aceptación;M03;Se implanta por primera vez en producción el 11/11/2014;;;;;24/09/2014;05/11/2014;;;;13/11/2014;13/11/2014;;13/08/2014;19/09/2014;13/08/2014;13/08/2014
PROY0103_08;Venezuela;Respuestas local aplicativo;Implementado con OK;XXX;;;;;;24/09/2014;11/11/2014;;;11/11/2014;13/11/2014;13/11/2014;;;;13/08/2014;13/08/2014
PROY0103_08;Perú;Respuestas local aplicativo;Implementado con OK;XXX;;;;;;24/09/2014;11/11/2014;;;11/11/2014;13/11/2014;13/11/2014;;;;13/08/2014;13/08/2014
PROY0104_01;Colombia;Saldos y movimientos;Implementado con OK;MT940;;;;;;31/07/2013;12/08/2013;;;24/08/2013;27/08/2013;27/08/2013;27/08/2013;31/07/2013;05/08/2013;31/07/2013;12/08/2013
PROY0105_01;México;Saldos y movimientos;Implementado con OK;MT940;;;;;;04/12/2013;15/01/2014;;15/01/2014;11/01/2014;03/03/2014;03/03/2014;;25/01/2014;25/02/2014;05/12/2013;05/12/2013
PROY0105_01;Argentina;Saldos y movimientos;Implementado con OK;MT940;;;;;;04/12/2013;15/01/2014;;15/01/2014;11/01/2014;03/03/2014;03/03/2014;;25/01/2014;25/02/2014;05/12/2013;05/12/2013
PROY0105_01;Chile;Saldos y movimientos;Implementado con OK;MT940;;;;;;04/12/2013;15/01/2014;;15/01/2014;11/01/2014;03/03/2014;03/03/2014;;25/01/2014;25/02/2014;05/12/2013;05/12/2013
PROY0105_01;Perú;Saldos y movimientos;Implementado con OK;MT940;;;;;;04/12/2013;15/01/2014;;15/01/2014;11/01/2014;03/03/2014;03/03/2014;;25/01/2014;25/02/2014;05/12/2013;05/12/2013
PROY0105_01;Colombia;Saldos y movimientos;Implementado con OK;MT940;;;;;;04/12/2013;15/01/2014;;15/01/2014;11/01/2014;03/03/2014;03/03/2014;;25/01/2014;25/02/2014;05/12/2013;05/12/2013
PROY0106_01;España;Transferencias EUR (FIT);Implementado con OK;FIT;;;;;;09/08/2013;27/09/2013;;;05/10/2013;11/11/2013;11/11/2013;11/11/2013;01/05/2013;01/10/2013;07/08/2013;08/08/2013
