Factoring;Perú;M08;;;;;
Transferencias Internacionales (TEX Macug);Perú;TEX;;;;;
TEC Macug (confirmación de trf. Int.)/CONFIRMACION MCUG;Perú;M11;;;;;
Transferencias Domésticas;Portugal;TRA;;;;;
Ret. Tra. domestic;Portugal;RTR;;;;;
Nóminas (ordenados);Portugal;NOM;;;;;
Ret. Ordenados;Portugal;RTO;;;;;
Transferencias Domésticas Urgentes;Portugal;TUG;;;;;
Transferencias Domésticas*;Portugal;PS2;;;;;
Nóminas*;Portugal;PS2;;;;;
Transferencias SEPA;Portugal;SCT;;;;;
Retrocesiones Transferencias SEPA;Portugal;RCT;;;;;
Nóminas SEPA;Portugal;SCN;;;;;
Retrocesiones Nóminas SEPA;Portugal;RCN;;;;;
Transferencias urgentes;Portugal;SCU;;;;;
TRF Urgentes (retorno);Portugal;RUG;;;;;
Nóminas urgentes;Portugal;SNU;;;;;
Transferencias internacionales;Portugal;TIN;;;;;
Retorno TRF Intern;Portugal;RTI;;;;;
Confirming;Portugal;CNF;;;;;
Retorno confirming;Portugal;RNF;;;;;
SEPA DD-INSTRUCOES;Portugal;IDD;;;;;
SEPA DD - Rejeiçoes;Portugal;REJ;;;;;
SEPA DD - Devoluçoes;Portugal;RDD;;;;;
SEPA DD - Reembolsos;Portugal;REE;;;;;
SEPA DD - Devoluçao Reversoes;Portugal;RRV;;;;;
SEPA DD-REVERSOES;Portugal;RVS;;;;;
Saldos y movimientos;Portugal;ISM;;;;;
Pago a Proveedores;Venezuela;PRO;;;;;
Transferencias;Venezuela;TRN;;;;;
Nóminas;Venezuela;NMA;;;;;
Pago a proveedores;Uruguay;PAP;;;;;
Nóminas;Uruguay;NOM;;;;;
Movimientos cuentas personales en fichero;Hong Kong;REX;RXM;;;;
Movimientos cuentas personales en fichero;Italia;REX;RXM;;;;
Movimientos cuentas personales en fichero;Curasao;REX;RXM;;;;
Saldos y movimientos;Perú;ISM;;;;;
Saldos y movimientos;Uruguay;ISM;;;;;
Saldos y movimientos;Venezuela;ISM;;;;;
Movimientos del día en fichero (MT942);Argentina;MVD;;;;;
Movimientos del día en fichero (MT942);Italia;MVD;;;;;
Movimientos del día en fichero (MT942);Hong Kong;MVD;;;;;
Movimientos del día en fichero (MT942);Curasao;MVD;;;;;
Movimientos del día en fichero (MT942);Uruguay;MVD;;;;;
Movimientos del día en fichero (MT942);Bélgica;MVD;;;;;
Movimientos del día en fichero (MT942);Chile;MVD;;;;;
Movimientos del día en fichero (MT942);Colombia;MVD;;;;;
Movimientos del día en fichero (MT942);Reino Unido;MVD;;;;;
Movimientos del día en fichero (MT942);México;MVD;;;;;
Movimientos del día en fichero (MT942);USA;MVD;;;;;
Movimientos del día en fichero (MT942);Francia;MVD;;;;;
Movimientos del día en fichero (MT942);Portugal;MVD;;;;;
Movimientos del día en fichero (MT942);Perú;MVD;;;;;
Movimientos del día en fichero (MT942);Venezuela;MVD;;;;;
Movimientos del día en fichero (MT942);Otros países;MVD;;;;;
Saldos y movimientos;Otros países;ISM;;;;;
Otros servicios no disponibles;Argentina;XXX;;;;;
Otros servicios no disponibles;Bélgica;XXX;;;;;
Otros servicios no disponibles;Chile;XXX;;;;;
Otros servicios no disponibles;Colombia;XXX;;;;;
Otros servicios no disponibles;España;XXX;;;;;
Otros servicios no disponibles;Reino Unido;XXX;;;;;
Otros servicios no disponibles;México;XXX;;;;;
Otros servicios no disponibles;USA;XXX;;;;;
Otros servicios no disponibles;Otros países;XXX;;;;;
Otros servicios no disponibles;Francia;XXX;;;;;
Otros servicios no disponibles;Perú;XXX;;;;;
Otros servicios no disponibles;Portugal;XXX;;;;;
Otros servicios no disponibles;Uruguay;XXX;;;;;
Otros servicios no disponibles;Hong Kong;XXX;;;;;
Otros servicios no disponibles;Curasao;XXX;;;;;
Otros servicios no disponibles;Italia;XXX;;;;;
Otros servicios no disponibles;Venezuela;XXX;;;;;
Respuestas;Argentina;XXX;;;;;
Respuestas;Bélgica;XXX;;;;;
Respuestas;Chile;XXX;;;;;
Respuestas;Colombia;XXX;;;;;
Respuestas;España;XXX;;;;;
Respuestas;Reino Unido;XXX;;;;;
Respuestas;México;XXX;;;;;
Respuestas;USA;XXX;;;;;
Respuestas;Otros países;XXX;;;;;
Respuestas;Francia;XXX;;;;;
Respuestas;Perú;XXX;;;;;
Respuestas;Portugal;XXX;;;;;
Respuestas;Uruguay;XXX;;;;;
Respuestas;Hong Kong;XXX;;;;;
Respuestas;Curasao;XXX;;;;;
Respuestas;Italia;XXX;;;;;
Respuestas;Venezuela;XXX;;;;;
Respuestas GMM ;Argentina;XXX;;;;;
Respuestas GMM ;Bélgica;XXX;;;;;
Respuestas GMM ;Chile;XXX;;;;;
Respuestas GMM ;Colombia;XXX;;;;;
Respuestas GMM ;España;XXX;;;;;
Respuestas GMM ;Reino Unido;XXX;;;;;
Respuestas GMM ;México;XXX;;;;;
Respuestas GMM ;USA;XXX;;;;;
Respuestas GMM ;Otros países;XXX;;;;;
Respuestas GMM ;Francia;XXX;;;;;
Respuestas GMM ;Perú;XXX;;;;;
Respuestas GMM ;Portugal;XXX;;;;;
Respuestas GMM ;Uruguay;XXX;;;;;
Respuestas GMM ;Hong Kong;XXX;;;;;
Respuestas GMM ;Curasao;XXX;;;;;
Respuestas GMM ;Italia;XXX;;;;;
Respuestas GMM ;Venezuela;XXX;;;;;
Respuestas Local C. Gestora ;Argentina;XXX;;;;;
Respuestas Local C. Gestora ;Bélgica;XXX;;;;;
Respuestas Local C. Gestora ;Chile;XXX;;;;;
Respuestas Local C. Gestora ;Colombia;XXX;;;;;
Respuestas Local C. Gestora ;España;XXX;;;;;
Respuestas Local C. Gestora ;Reino Unido;XXX;;;;;
Respuestas Local C. Gestora ;México;XXX;;;;;
Respuestas Local C. Gestora ;USA;XXX;;;;;
Respuestas Local C. Gestora ;Otros países;XXX;;;;;
Respuestas Local C. Gestora ;Francia;XXX;;;;;
Respuestas Local C. Gestora ;Perú;XXX;;;;;
Respuestas Local C. Gestora ;Portugal;XXX;;;;;
Respuestas Local C. Gestora ;Uruguay;XXX;;;;;
Respuestas Local C. Gestora ;Hong Kong;XXX;;;;;
Respuestas Local C. Gestora ;Curasao;XXX;;;;;
Respuestas Local C. Gestora ;Italia;XXX;;;;;
Respuestas Local C. Gestora ;Venezuela;XXX;;;;;
Respuestas Local Aplicativo;Argentina;XXX;;;;;
Respuestas Local Aplicativo;Bélgica;XXX;;;;;
Respuestas Local Aplicativo;Chile;XXX;;;;;
Respuestas Local Aplicativo;Colombia;XXX;;;;;
Respuestas Local Aplicativo;España;XXX;;;;;
Respuestas Local Aplicativo;Reino Unido;XXX;;;;;
Respuestas Local Aplicativo;México;XXX;;;;;
Respuestas Local Aplicativo;USA;XXX;;;;;
Respuestas Local Aplicativo;Otros países;XXX;;;;;
Respuestas Local Aplicativo;Francia;XXX;;;;;
Respuestas Local Aplicativo;Perú;XXX;;;;;
Respuestas Local Aplicativo;Portugal;XXX;;;;;
Respuestas Local Aplicativo;Uruguay;XXX;;;;;
Respuestas Local Aplicativo;Hong Kong;XXX;;;;;
Respuestas Local Aplicativo;Curasao;XXX;;;;;
Respuestas Local Aplicativo;Italia;XXX;;;;;
Respuestas Local Aplicativo;Venezuela;XXX;;;;;
Respuestas Dedicadas;Argentina;XXX;;;;;
Respuestas Dedicadas;Bélgica;XXX;;;;;
Respuestas Dedicadas;Chile;XXX;;;;;
Respuestas Dedicadas;Colombia;XXX;;;;;
Respuestas Dedicadas;España;XXX;;;;;
Respuestas Dedicadas;Reino Unido;XXX;;;;;
Respuestas Dedicadas;México;XXX;;;;;
Respuestas Dedicadas;USA;XXX;;;;;
Respuestas Dedicadas;Otros países;XXX;;;;;
Respuestas Dedicadas;Francia;XXX;;;;;
Respuestas Dedicadas;Perú;XXX;;;;;
Respuestas Dedicadas;Portugal;XXX;;;;;
Respuestas Dedicadas;Uruguay;XXX;;;;;
Respuestas Dedicadas;Hong Kong;XXX;;;;;
Respuestas Dedicadas;Curasao;XXX;;;;;
Respuestas Dedicadas;Italia;XXX;;;;;
Respuestas Dedicadas;Venezuela;XXX;;;;;
Respuestas OB;Argentina;XXX;;;;;
Respuestas OB;Bélgica;XXX;;;;;
Respuestas OB;Chile;XXX;;;;;
Respuestas OB;Colombia;XXX;;;;;
Respuestas OB;España;XXX;;;;;
Respuestas OB;Reino Unido;XXX;;;;;
Respuestas OB;México;XXX;;;;;
Respuestas OB;USA;XXX;;;;;
Respuestas OB;Otros países;XXX;;;;;
Respuestas OB;Francia;XXX;;;;;
Respuestas OB;Perú;XXX;;;;;
Respuestas OB;Portugal;XXX;;;;;
Respuestas OB;Uruguay;XXX;;;;;
Respuestas OB;Hong Kong;XXX;;;;;
Respuestas OB;Curasao;XXX;;;;;
Respuestas OB;Italia;XXX;;;;;
Respuestas OB;Venezuela;XXX;;;;;
Respuestas MT195;Argentina;XXX;;;;;
Respuestas MT195;Bélgica;XXX;;;;;
Respuestas MT195;Chile;XXX;;;;;
Respuestas MT195;Colombia;XXX;;;;;
Respuestas MT195;España;XXX;;;;;
Respuestas MT195;Reino Unido;XXX;;;;;
Respuestas MT195;México;XXX;;;;;
Respuestas MT195;USA;XXX;;;;;
Respuestas MT195;Otros países;XXX;;;;;
Respuestas MT195;Francia;XXX;;;;;
Respuestas MT195;Perú;XXX;;;;;
Respuestas MT195;Portugal;XXX;;;;;
Respuestas MT195;Uruguay;XXX;;;;;
Respuestas MT195;Hong Kong;XXX;;;;;
Respuestas MT195;Curasao;XXX;;;;;
Respuestas MT195;Italia;XXX;;;;;
Respuestas MT195;Venezuela;XXX;;;;;
