PROY0017_03	Perú	Respuestas	Excluido por negocio	XXX																	
PROY0020_02	España	Devoluciones de anticipo crédito vía fichero	Implementado sin OK	DVA			AEB 58							41692						41606	41608
PROY0020_02	España	Transferencias internacionales	Implementado sin OK	TIN			TIN Propietario							41692						41627	41627
PROY0020_02	España	Transferencias domésticas	Implementado sin OK	TRA			Local Propietario							41692						41627	41627
PROY0020_02	España	Transferencias urgentes (OMF)	Implementado sin OK	OMF			Local Propietario							41692						41627	41627
PROY0020_02	España	Transferencias en fichero 34.1	Implementado sin OK	TR1			Local Propietario							41692						41627	41627
PROY0020_02	Portugal	Transferencias internacionales	Implementado sin OK	TIN		XML V3	TIN Propietario							41692						41625	41648
PROY0020_02	Portugal	Transferencias SEPA	Implementado sin OK	SCT		XML V3	Propietario							41692						41625	41648
PROY0020_03	Portugal	Saldos y movimientos	Excluido por negocio	MT940			MT940														
PROY0020_04	España	C19.14 Cancelaciones/Retrocesiones SEPA - CORE	Excluido por Timeout	SCA														41715	41741		
PROY0020_04	España	Adeudos directos C19.44 Sepa	Excluido por Timeout	CSX														41715	41741		
PROY0020_04	España	C19.14 Cancelaciones/Retrocesiones SEPA - CORE	Excluido por Timeout	SCA														41715	41741		
PROY0020_04	España	C19.44 Cancelaciones/Retrocesiones Sepa	Excluido por Timeout	SCX	SCX													41715	41741		
PROY0020_04	España	Transferencias EUR (FIT)	Implementado con OK	FIT						41715	41739			41741	41752	41753	41765	41715	41741	41715	41715
PROY0020_04	España	Nóminas (FIM)	Excluido por Timeout	FIM														41715	41741	41716	
PROY0020_05	España	Saldos y movimientos	Excluido por negocio	MT940			MT940														
PROY0020_05	Portugal	Saldos y movimientos	Excluido por negocio	MT940			MT940														
PROY0021_01	Colombia	Nóminas	Excluido por Timeout	NMA	No se llegó a hacer pruebas, porque se priorizaron las pruebas de Pago a proveedores		NMA Propietario		8100	41099											
PROY0021_01	Colombia	Transferencias	Excluido por Timeout	TRN	No se llegó a hacer pruebas, porque se priorizaron las pruebas de Pago a proveedores		TRA Propietario		8100	41099											
PROY0021_01	Colombia	Pago a proveedores	Excluido por Timeout	PRO	Parado en fase de pruebas en Integrado. Se probó la conexión y la encriptación/desencriptación. Se hizo un envío al Host de Colombia, pero el fichero preparado por Fiduprevisora no se ajusta el formato local, y el cliente tiene que hacer los desarrollos c		PRO Propietario		8100	41099											
