PDTE Doc Alcance en GCS
C100 en confección
PDTE Valoración IT
PDTE Plan de Trabajo IT
PDTE Visto Bueno del CL del plan de trabajo
En Desarrollo
En Test - Conectividad
En Test - Integración
En Test - Aceptación
Parado por producto
Parado por negocio
Parado por IT
Excluido por negocio
Excluido por Timeout
PDTE Implantar
En Penny Test
Implementado con OK
Implementado sin OK
