Otros servicios no disponibles;Perú;;;;;;
SEPA DD-REVERSOES;Portugal;RVS;;;;;
Otros servicios no disponibles;Hong Kong;;;;;;
Otros servicios no disponibles;Curasao;;;;;;
Otros servicios no disponibles;Italia;;;;;;
Respuestas GMM ;Argentina;;;;;;
Transferencia sepa 34,12;España;TRS;;;;;
Transferencias Domésticas;Portugal;TRA;;;;;
Respuestas Local Aplicativo;Argentina;;;;;;
Respuestas GMM ;Bélgica;;;;;;
Respuestas GMM ;Chile;;;;;;
Respuestas GMM ;Colombia;;;;;;
Transferencias AEB34.14 SEPA;España;AES;;;;;
Respuestas GMM ;México;;;;;;
Respuestas GMM ;Francia;;;;;;
Respuestas GMM ;Perú;;;;;;
Transferencias Domésticas Urgentes;Portugal;TUG;;;;;
Respuestas GMM ;Hong Kong;;;;;;
Respuestas GMM ;Curasao;;;;;;
Respuestas GMM ;Italia;;;;;;
Respuestas Local C. Gestora ;Argentina;;;;;;
Respuestas Local C. Gestora ;Bélgica;;;;;;
Respuestas Local C. Gestora ;Chile;;;;;;
Respuestas Local C. Gestora ;Colombia;;;;;;
Respuestas Local C. Gestora ;México;;;;;;
Respuestas Local C. Gestora ;Francia;;;;;;
Respuestas Local C. Gestora ;Perú;;;;;;
Transferencias Domésticas*;Portugal;PS2;;;;;
Respuestas Local C. Gestora ;Hong Kong;;;;;;
Respuestas Local C. Gestora ;Curasao;;;;;;
Respuestas Local C. Gestora ;Italia;;;;;;
Respuestas MT195;Argentina;;;;;;
Respuestas Local Aplicativo;Bélgica;;;;;;
Respuestas Local Aplicativo;Chile;;;;;;
Respuestas Local Aplicativo;Colombia;;;;;;
Transferencias en fichero 34.1;España;TR1;;;;;
Respuestas Local Aplicativo;México;;;;;;
Respuestas Local Aplicativo;Francia;;;;;;
Respuestas Local Aplicativo;Perú;;;;;;
Respuestas Local Aplicativo;Hong Kong;;;;;;
Respuestas Local Aplicativo;Curasao;;;;;;
Respuestas Local Aplicativo;Italia;;;;;;
Respuestas OB;Argentina;;;;;;
Respuestas Dedicadas;Bélgica;;;;;;
Respuestas Dedicadas;Chile;;;;;;
Respuestas Dedicadas;Colombia;;;;;;
Respuestas Dedicadas;México;;;;;;
Respuestas Dedicadas;Francia;;;;;;
Respuestas Dedicadas;Perú;;;;;;
Respuestas Dedicadas;Hong Kong;;;;;;
Respuestas Dedicadas;Curasao;;;;;;
Respuestas Dedicadas;Italia;;;;;;
Respuestas OB;Bélgica;;;;;;
Respuestas OB;Chile;;;;;;
Respuestas OB;Colombia;;;;;;
Transferencias Internacionales;España;TIN;;;;;
Respuestas OB;México;;;;;;
Respuestas OB;Francia;;;;;;
Respuestas OB;Perú;;;;;;
Transferencias urgentes;Portugal;SCU;;;;;
Respuestas OB;Hong Kong;;;;;;
Respuestas OB;Curasao;;;;;;
Respuestas OB;Italia;;;;;;
Respuestas MT195;Bélgica;;;;;;
Respuestas MT195;Chile;;;;;;
Respuestas MT195;Colombia;;;;;;
Respuestas MT195;México;;;;;;
Respuestas MT195;Francia;;;;;;
